alert_packet_id,packet_start_plot_order_index,packet_end_plot_order_index,packet_row_count,rows_from_packet_start_to_broken,contains_pre_failure_alert,contains_failure_hit,contains_recovery_alert,contains_stable_normal_alert
215,141145,141169,23,-123990,0,0,0,1
216,141185,141343,146,-124030,0,0,0,1
217,145977,145977,1,-128822,0,0,0,1
218,146009,146009,1,-128854,0,0,0,1
219,147461,147461,1,-130306,0,0,0,1
220,147477,147481,4,-130322,0,0,0,1
221,148074,148074,1,-130919,0,0,0,1
222,149386,149396,7,-132231,0,0,0,1
223,149417,149429,10,-132262,0,0,0,1
224,149442,149450,5,-132287,0,0,0,1
225,149457,149459,3,-132302,0,0,0,1
226,149466,149492,18,-132311,0,0,0,1
227,149500,149505,3,-132345,0,0,0,1
228,149522,149529,6,-132367,0,0,0,1
229,149567,149567,1,-132412,0,0,0,1
230,149588,149595,6,-132433,0,0,0,1
231,149663,149665,2,-132508,0,0,0,1
232,149678,149681,2,-132523,0,0,0,1
233,149925,149932,8,-132770,0,0,0,1
234,149955,149958,2,-132800,0,0,0,1
235,149977,149985,4,-132822,0,0,0,1
236,150280,150298,11,-133125,0,0,0,1
237,150348,150353,2,-133193,0,0,0,1
238,150445,150445,1,-133290,0,0,0,1
239,150507,150507,1,-133352,0,0,0,1
240,152595,152598,4,-135440,0,0,0,1
241,152623,152623,1,-135468,0,0,0,1
242,152799,152799,1,-135644,0,0,0,1
243,153080,153088,6,-135925,0,0,0,1
244,153115,153117,2,-135960,0,0,0,1
245,153135,153135,1,-135980,0,0,0,1
246,153159,153161,3,-136004,0,0,0,1
247,153244,153245,2,-136089,0,0,0,1
248,153256,153256,1,-136101,0,0,0,1
249,153296,153296,1,-136141,0,0,0,1
250,153320,153323,3,-136165,0,0,0,1
251,153352,153352,1,-136197,0,0,0,1
252,153448,153452,3,-136293,0,0,0,1
253,153849,153849,1,-136694,0,0,0,1
254,153880,153880,1,-136725,0,0,0,1
255,153893,153895,2,-136738,0,0,0,1
256,153917,153925,8,-136762,0,0,0,1
257,153931,153940,8,-136776,0,0,0,1
258,153951,153956,4,-136796,0,0,0,1
259,153962,153962,1,-136807,0,0,0,1
260,153993,153993,1,-136838,0,0,0,1
261,154032,154032,1,-136877,0,0,0,1
262,154096,154105,7,-136941,0,0,0,1
263,154131,154135,5,-136976,0,0,0,1
264,154168,154172,4,-137013,0,0,0,1
265,154279,154283,2,-137124,0,0,0,1
266,154316,154319,2,-137161,0,0,0,1
267,154878,154893,15,-137723,0,0,0,1
268,155007,155382,359,-137852,0,0,0,1
