,sensor_00,sensor_01,sensor_02,sensor_03,sensor_04,sensor_05,sensor_06,sensor_07,sensor_08,sensor_09,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,sensor_22,sensor_23,sensor_24,sensor_25,sensor_26,sensor_27,sensor_28,sensor_29,sensor_30,sensor_31,sensor_32,sensor_33,sensor_34,sensor_35,sensor_36,sensor_37,sensor_38,sensor_39,sensor_40,sensor_41,sensor_42,sensor_43,sensor_44,sensor_45,sensor_46,sensor_47,sensor_48,sensor_49,sensor_51
sensor_10,0.773744626979972,0.23528384400323804,0.35615473339322856,0.15887680635035994,0.7510977047835316,0.6366145716760448,0.497739156644797,0.3189781326750138,0.037967529105601985,-0.003146283273668058,1.0,0.724650190208807,0.6275670683720552,0.053063218258641964,-0.23462997911522998,-0.20397716884986627,-0.19906994634238437,-0.12175524543259053,-0.26152894809559635,-0.2004374333694683,-0.15407951169344739,-0.2850802520733884,-0.1315632953197226,-0.18640314596584429,-0.26138996172164813,-0.1680099236946185,0.07645063971228605,-0.18819507299981655,-0.11788749013347259,-0.1352514351161072,-0.18515667308993525,-0.2785456376800819,-0.28937281776006263,-0.25132388078016726,-0.23833627537779206,-0.18930673089262515,0.10782013842600865,0.21097717935748414,-0.08701584650594815,0.1276180285518923,0.11625394927962876,-6.267391245176794e-05,0.032021588749002225,0.013179190224448476,-0.18367219027458123,-0.17112659213955123,0.2100726125028653,0.09632880661609408,0.10527238973342068,0.1587097902960112
sensor_11,0.8173197483075568,0.16294702058312208,0.5454510810641879,0.31329832794719287,0.7981381071144201,0.5022956265407176,0.5931816238318641,0.4291989290415005,0.06333419522002653,0.004710719984440285,0.724650190208807,1.0,0.6927148410032951,-0.13966989736308527,-0.32513266244646766,-0.30093658725536127,-0.29801284545528006,-0.17387259690329626,-0.36136040682623766,-0.3025733887169286,-0.2747917665317335,-0.41155375583733717,-0.20689513872921964,-0.3228295516945158,-0.3275725915596032,-0.24026997762909322,0.05361325266386374,-0.2666214024807612,-0.08430078937197139,-0.1967091230868414,-0.2602187883644374,-0.3216871527422995,-0.3312043813692727,-0.41180330150522354,-0.35019036357432565,-0.26091444441895567,0.2830019456733392,0.0986696956009216,-0.12424275370211661,-0.026472396807128852,0.021226850743252514,-0.04277983746938125,-0.07880232766462893,-0.058462425711174056,-0.15984196289550942,-0.26894908920096433,-0.005385420655105208,0.32572071841425604,0.23035678237186447,0.3021060332863379
sensor_12,0.6922779359178508,0.11732102347989226,0.34590696237885477,0.14095918089308496,0.6927417484309771,0.47845779949988265,0.49866778286553065,0.27406243297961685,0.03773705535435805,-0.022628379187505418,0.6275670683720552,0.6927148410032951,1.0,-0.0529226118749883,-0.2806111925265635,-0.2426794501247513,-0.3010280785559355,-0.24418850326888167,-0.299290115020421,-0.26682460401841657,-0.22875853428607845,-0.3183925640466302,-0.1872618075063281,-0.22634402642776744,-0.27023253429699406,-0.19578597622796223,0.09892412257245226,-0.21803680228957578,-0.12602195525400176,-0.17600194638196998,-0.24106511396832067,-0.2855115217853217,-0.31829537603533115,-0.29111380246606167,-0.2739007838474698,-0.22453081300138725,0.19319189940029097,0.14235612052771793,-0.11312380348129764,0.038576523380568016,0.02760885619676026,-0.06781007053259035,-0.056585322979107074,-0.10094490896436861,-0.23019640168931943,-0.25290338494256004,-0.011563212080350903,0.044021343094888254,0.0706606408728628,0.057658115365204037
sensor_13,-0.15957959973996047,0.15648691895953334,-0.35198378368845773,-0.10940706612618369,-0.1049131646734664,0.35647818015917965,-0.06686861412524514,-0.05039694162669183,0.055383981549078524,-0.02472561933528742,0.053063218258641964,-0.13966989736308527,-0.0529226118749883,1.0,0.22371875455997942,0.1613260955800182,0.12813095756253123,0.06657941333122543,0.15231045582301483,0.19346555993865003,0.22917174723500217,0.2023766732871132,0.16723606288132384,0.19010900619366383,0.15941523349416198,0.15041496142802055,0.04046520900711761,0.17679677938810998,-0.10391805097514294,0.19246319847815294,0.2485339182373737,0.20652850682509769,0.15144779623690327,0.19304860347000694,0.15224133050654912,0.03984031512142527,-0.3732410426811898,0.07397900428322768,0.08070966080731813,-0.004462924532167544,-0.037367749640532376,-0.03959469929986854,-0.09028766579080916,0.025975876858046417,-0.06518539816752389,-0.07884577478824853,-0.005594345411531762,-0.18526971854474467,-0.09535274156750695,0.058622114994963434
sensor_14,-0.35966532427102504,0.20262700676666057,-0.30101852929122996,-0.16020348346409985,-0.30297357706374206,-0.13502364167975892,-0.17806703637582666,-0.028268774334578563,0.12456946289882961,0.06641220978986546,-0.23462997911522998,-0.32513266244646766,-0.2806111925265635,0.22371875455997942,1.0,0.9322387678764813,0.8434148961188582,0.8389794423169096,0.8338378088398678,0.8225510948488168,0.8338519670432145,0.7808946317363924,0.8226936902766687,0.7801281417750486,0.848284432437361,0.7622891957165647,0.2911582958747435,0.6509366317934931,0.5927175893624699,0.46281654793810934,0.616371440299968,0.5831071699331567,0.6041052645035071,0.674923694612034,0.6784938048709483,0.6796914936480059,-0.12333326743828545,0.19478259691370134,0.311256091895345,0.23336996703640833,0.20161153199713827,0.2403088622944851,0.2350214331043834,0.3981286615977583,0.23397011398692563,0.15344533423197215,0.23901554886635165,0.011824813851559687,0.1407704439920776,0.013319375954488157
sensor_16,-0.3178613827675034,0.13851037219997406,-0.288229769092907,-0.19903383150463091,-0.2747013085630317,-0.12202600543156021,-0.14072667278529877,-0.008845402825497804,0.11253964434755341,0.08863446674041658,-0.20397716884986627,-0.30093658725536127,-0.2426794501247513,0.1613260955800182,0.9322387678764813,1.0,0.8643223737701408,0.8215991132883963,0.7813515669835952,0.7725683356359274,0.7822833944271687,0.7380890977838878,0.7705829333567181,0.7467320803955374,0.8002987817002789,0.7217897614827479,0.2945000250464658,0.636300299746748,0.5966847321553829,0.4560281594718665,0.6031627894459456,0.5633745853055732,0.5664521960068674,0.637699111814328,0.6196591307234296,0.6119424537148106,-0.11085580299359912,0.17641863325644003,0.22868101025718499,0.19225506650385957,0.1516011112581373,0.1681963092760582,0.18099435440380915,0.3146985394416559,0.1705720990738168,0.1275404222658886,0.1956322754734445,-0.01963734532839978,0.09406581612399667,-0.005738634836562508
sensor_17,-0.33493726525195966,0.01914219668903668,-0.34305714820296296,-0.30661044639657886,-0.28668804937474923,-0.12208935777804403,-0.17488928107283067,0.005972909885771423,0.06477273518944765,0.07064967523232348,-0.19906994634238437,-0.29801284545528006,-0.3010280785559355,0.12813095756253123,0.8434148961188582,0.8643223737701408,1.0,0.9353306506862377,0.7556020800371835,0.6979879455855046,0.7167876506735602,0.7563883551894519,0.6620760288689158,0.7558484075450499,0.7304167188108247,0.6297709537077477,0.26166933994245684,0.5765986533004955,0.5437924492450458,0.3995080853407632,0.5470625326906596,0.5038216401094617,0.5193066585149981,0.589793162181791,0.5259490151289413,0.5044064414945588,-0.13272101812005982,0.11680350557714433,0.1499517342932484,0.1716926041116732,0.08258513779338067,0.09071406990658085,0.13974609229844848,0.21374001190506825,0.12066387785984961,0.12061942742139628,0.15021269720787334,-0.08808196039064133,0.007198915439476767,-0.019871253817667096
sensor_18,-0.1889210357312864,0.14009223221556114,-0.18343410241398095,-0.15348109210762076,-0.15369201129962254,-0.090598121858645,-0.07347145649652684,0.06908633315674652,0.09466621025463358,0.08098205665306767,-0.12175524543259053,-0.17387259690329626,-0.24418850326888167,0.06657941333122543,0.8389794423169096,0.8215991132883963,0.9353306506862377,1.0,0.7193720454342527,0.6966622388671752,0.7185010143280345,0.6714801521859382,0.6911761401124982,0.6907923577682588,0.7242299255367094,0.6654800744844318,0.3016443348297948,0.579091650125709,0.5974081628146991,0.4134539810790783,0.5571529077534281,0.49922607934147367,0.5062094167338193,0.5445687889605842,0.5286280321242693,0.5448452009604942,-0.019445566185372822,0.15833280404763492,0.19287148426235812,0.18719588221680994,0.13995267677667791,0.15153308043782535,0.17327467175203673,0.25441602758993903,0.1260831396456003,0.09978586158338806,0.16578127408460178,0.0034069108746982166,0.07644210861387216,0.0073326029818900065
sensor_19,-0.4130228597171431,0.10759009477863629,-0.3441450391024579,-0.2092647626796691,-0.355586652047314,-0.23352334630252186,-0.2783330185147835,-0.0777251185783489,0.05430493149607261,0.02713001274440205,-0.26152894809559635,-0.36136040682623766,-0.299290115020421,0.15231045582301483,0.8338378088398678,0.7813515669835952,0.7556020800371835,0.7193720454342527,1.0,0.948140322971628,0.954048678384356,0.9559371763957588,0.9010565202416126,0.9323516756003332,0.9078854986542537,0.8684993262170714,0.2644472081032947,0.7667467514703452,0.6827848529849712,0.6141035100568232,0.7435352694348316,0.694667956849363,0.6732923986534798,0.720758986259761,0.679893371694016,0.7403410646157534,-0.1405453735432224,0.10465956520238834,0.2987956176389431,0.27592536992888644,0.16513511105507794,0.23326978109076518,0.27968002652497054,0.3924500136689712,0.27085799764553903,0.2237790748045452,0.22770210605867916,0.020568915690644726,0.12836951297457716,-0.01885056080217262
sensor_20,-0.3298635213947965,0.2125715774133586,-0.2584547690210057,-0.12771814473181525,-0.2804193465659548,-0.16090780101535077,-0.21886615966514097,-0.08074570302573297,0.06092280171278238,0.016752668069558267,-0.2004374333694683,-0.3025733887169286,-0.26682460401841657,0.19346555993865003,0.8225510948488168,0.7725683356359274,0.6979879455855046,0.6966622388671752,0.948140322971628,1.0,0.9713023559334597,0.8817297394703492,0.9431316251329971,0.8699361527266569,0.8983203966474739,0.9016104854602331,0.24254492651241702,0.7703616712797015,0.6984725937778737,0.642899284411627,0.7750958640854908,0.6980718960577004,0.6695782719583195,0.7213476136124916,0.7179131480846288,0.7748572563529605,-0.12584043362073277,0.13963679292855155,0.3302959022688306,0.2813469519532298,0.19616601713822943,0.26106376057024944,0.2823607701301525,0.41554466264768863,0.24969972450274378,0.18661196009712264,0.23217929495029296,0.06325793065646064,0.17649906708426175,0.016227938835154963
