sensor_a,sensor_b,correlation_contaminated,abs_correlation_contaminated,correlation_clean,abs_correlation_clean,correlation_delta,abs_correlation_delta
sensor_17,sensor_22,0.7563883551894519,0.7563883551894519,0.03958067890720133,0.03958067890720133,0.7168076762822506,0.7168076762822506
sensor_19,sensor_36,0.7403410646157534,0.7403410646157534,0.024272911172742304,0.024272911172742304,0.7160681534430111,0.7160681534430111
sensor_20,sensor_22,0.8817297394703492,0.8817297394703492,0.16671498867470558,0.16671498867470558,0.7150147507956436,0.7150147507956436
sensor_14,sensor_21,0.8338519670432145,0.8338519670432145,0.12322068931593802,0.12322068931593802,0.7106312777272765,0.7106312777272765
sensor_16,sensor_23,0.7705829333567181,0.7705829333567181,0.06713563561699552,0.06713563561699552,0.7034472977397226,0.7034472977397226
sensor_14,sensor_22,0.7808946317363924,0.7808946317363924,0.08550180254771411,0.08550180254771411,0.6953928291886783,0.6953928291886783
sensor_22,sensor_24,0.9586898940641112,0.9586898940641112,0.26669793052476315,0.26669793052476315,0.6919919635393481,0.6919919635393481
sensor_21,sensor_28,0.7930815132856559,0.7930815132856559,-0.10114991592486995,0.10114991592486995,0.8942314292105259,0.6919315973607859
sensor_19,sensor_22,0.9559371763957588,0.9559371763957588,0.26401791760064214,0.26401791760064214,0.6919192587951166,0.6919192587951166
sensor_18,sensor_23,0.6911761401124982,0.6911761401124982,-0.0016167913640980091,0.0016167913640980091,0.6927929314765962,0.6895593487484002
sensor_19,sensor_23,0.9010565202416126,0.9010565202416126,0.21269141018926138,0.21269141018926138,0.6883651100523512,0.6883651100523512
sensor_14,sensor_19,0.8338378088398678,0.8338378088398678,0.14567958840397843,0.14567958840397843,0.6881582204358894,0.6881582204358894
sensor_16,sensor_22,0.7380890977838878,0.7380890977838878,0.056010846483254245,0.056010846483254245,0.6820782513006335,0.6820782513006335
sensor_31,sensor_36,0.6822263893587762,0.6822263893587762,0.0007698968796384896,0.0007698968796384896,0.6814564924791378,0.6814564924791378
sensor_14,sensor_36,0.6796914936480059,0.6796914936480059,-0.001893637895012053,0.001893637895012053,0.6815851315430179,0.6777978557529938
sensor_21,sensor_34,0.7310872749349616,0.7310872749349616,0.05465263959991399,0.05465263959991399,0.6764346353350477,0.6764346353350477
sensor_14,sensor_34,0.674923694612034,0.674923694612034,0.00044736446844585004,0.00044736446844585004,0.6744763301435882,0.6744763301435882
sensor_16,sensor_26,0.7217897614827479,0.7217897614827479,0.053848595522497406,0.053848595522497406,0.6679411659602504,0.6679411659602504
sensor_19,sensor_34,0.720758986259761,0.720758986259761,0.0541495112363074,0.0541495112363074,0.6666094750234536,0.6666094750234536
sensor_14,sensor_35,0.6784938048709483,0.6784938048709483,-0.014392059593367507,0.014392059593367507,0.6928858644643159,0.6641017452775808
sensor_14,sensor_20,0.8225510948488168,0.8225510948488168,0.15978947391522846,0.15978947391522846,0.6627616209335884,0.6627616209335884
sensor_17,sensor_25,0.7304167188108247,0.7304167188108247,0.068735413862549,0.068735413862549,0.6616813049482757,0.6616813049482757
sensor_17,sensor_23,0.6620760288689158,0.6620760288689158,0.0020045023824482276,0.0020045023824482276,0.6600715264864676,0.6600715264864676
sensor_21,sensor_30,0.6625239761595642,0.6625239761595642,0.0025608091357769533,0.0025608091357769533,0.6599631670237872,0.6599631670237872
sensor_19,sensor_31,0.7435352694348316,0.7435352694348316,-0.08478273747298522,0.08478273747298522,0.8283180069078169,0.6587525319618464
sensor_30,sensor_31,0.7219020264543038,0.7219020264543038,-0.06439858758869861,0.06439858758869861,0.7863006140430024,0.6575034388656051
sensor_29,sensor_31,0.7008521195530358,0.7008521195530358,0.044618354160043505,0.044618354160043505,0.6562337653929924,0.6562337653929924
sensor_19,sensor_28,0.7667467514703452,0.7667467514703452,-0.11116890800077368,0.11116890800077368,0.8779156594711189,0.6555778434695715
sensor_31,sensor_35,0.6553296049767152,0.6553296049767152,0.0001274228923683844,0.0001274228923683844,0.6552021820843469,0.6552021820843469
sensor_20,sensor_34,0.7213476136124916,0.7213476136124916,0.06657633698867144,0.06657633698867144,0.6547712766238201,0.6547712766238201
sensor_23,sensor_31,0.7672995203168563,0.7672995203168563,0.11336363102895351,0.11336363102895351,0.6539358892879028,0.6539358892879028
sensor_18,sensor_25,0.7242299255367094,0.7242299255367094,0.07301802183240302,0.07301802183240302,0.6512119037043064,0.6512119037043064
sensor_24,sensor_34,0.682040101116687,0.682040101116687,-0.03319262697766855,0.03319262697766855,0.7152327280943556,0.6488474741390184
sensor_18,sensor_24,0.6907923577682588,0.6907923577682588,-0.04194563761634194,0.04194563761634194,0.7327379953846007,0.6488467201519168
sensor_26,sensor_31,0.8564724611140535,0.8564724611140535,0.20783796371040553,0.20783796371040553,0.648634497403648,0.648634497403648
sensor_20,sensor_33,0.6695782719583195,0.6695782719583195,-0.024919263105898384,0.024919263105898384,0.694497535064218,0.6446590088524211
sensor_21,sensor_22,0.891780011991612,0.891780011991612,0.24797230314241656,0.24797230314241656,0.6438077088491955,0.6438077088491955
sensor_39,sensor_43,0.741297277362397,0.741297277362397,0.10156378015804168,0.10156378015804168,0.6397334972043554,0.6397334972043554
sensor_16,sensor_21,0.7822833944271687,0.7822833944271687,0.14399800559893186,0.14399800559893186,0.6382853888282368,0.6382853888282368
sensor_16,sensor_20,0.7725683356359274,0.7725683356359274,0.13893574312587775,0.13893574312587775,0.6336325925100497,0.6336325925100497
sensor_18,sensor_22,0.6714801521859382,0.6714801521859382,0.03902612037489451,0.03902612037489451,0.6324540318110436,0.6324540318110436
sensor_29,sensor_32,0.64127431910662,0.64127431910662,-0.00989599949939654,0.00989599949939654,0.6511703186060166,0.6313783196072235
sensor_14,sensor_28,0.6509366317934931,0.6509366317934931,-0.021085896562961358,0.021085896562961358,0.6720225283564545,0.6298507352305318
sensor_26,sensor_33,0.6295984683672105,0.6295984683672105,0.0027605932749661354,0.0027605932749661354,0.6268378750922443,0.6268378750922443
sensor_18,sensor_26,0.6654800744844318,0.6654800744844318,0.04122965804395057,0.04122965804395057,0.6242504164404812,0.6242504164404812
sensor_20,sensor_35,0.7179131480846288,0.7179131480846288,0.09497672766544651,0.09497672766544651,0.6229364204191823,0.6229364204191823
sensor_10,sensor_12,0.6275670683720552,0.6275670683720552,-0.006120235959390829,0.006120235959390829,0.633687304331446,0.6214468324126644
sensor_21,sensor_32,0.7253620383169934,0.7253620383169934,-0.10596353586228016,0.10596353586228016,0.8313255741792736,0.6193985024547133
sensor_24,sensor_26,0.7694810702157452,0.7694810702157452,0.1515222962026583,0.1515222962026583,0.6179587740130869,0.6179587740130869
sensor_20,sensor_30,0.642899284411627,0.642899284411627,-0.02604265261095359,0.02604265261095359,0.6689419370225806,0.6168566318006734
sensor_22,sensor_31,0.6938252068640115,0.6938252068640115,0.07711649293121926,0.07711649293121926,0.6167087139327923,0.6167087139327923
