feature,state_value,clean_center,clean_scale,state_center,state_q05,state_q95,median_shift_vs_clean,median_shift_vs_clean_robust_zish
sensor_30,abnormal,672.2222,46.67447189999997,671.2963,404.72219,708.56478,-0.9259000000000697,0.01983739638198392
sensor_30,normal_clean,672.2222,46.67447189999997,672.2222,606.0185,769.4445,0.0,0.0
sensor_30,normal_contaminated,672.2222,46.67447189999997,109.7222,45.83333,198.6111,-562.5,12.051555745615204
sensor_30,normal_suspect,672.2222,46.67447189999997,673.1481,129.6296,1047.4535,0.925899999999956,0.019837396381981485
sensor_30,recovery,672.2222,46.67447189999997,689.8148,643.9814,842.6851799999995,17.592599999999948,0.37692124375166114
sensor_31,abnormal,923.9583,77.21884883999996,971.8749,690.7812200000001,1033.5937,47.91660000000002,0.6205298410920993
sensor_31,normal_clean,923.9583,77.21884883999996,923.9583,776.5625,1063.021,0.0,0.0
sensor_31,normal_contaminated,923.9583,77.21884883999996,139.0625,60.41666,286.9792,-784.8958,10.16456230299846
sensor_31,normal_suspect,923.9583,77.21884883999996,899.4791,178.125,1800.0,-24.47919999999999,0.3170106828544118
sensor_31,recovery,923.9583,77.21884883999996,989.0624,887.9166200000001,1513.1251999999993,65.10410000000002,0.8431115068148437
sensor_32,abnormal,897.3002,86.24417634000011,849.8132,528.06749,993.5739599999999,-47.486999999999966,0.5506110906873541
sensor_32,normal_clean,897.3002,86.24417634000011,897.3002,683.7099000000001,1012.0061999999999,0.0,0.0
sensor_32,normal_contaminated,897.3002,86.24417634000011,130.87169999999998,49.300933500000006,241.266885,-766.4285,8.886727574259758
sensor_32,normal_suspect,897.3002,86.24417634000011,759.5176,170.25802000000002,1433.0656,-137.7826,1.5975872904950723
sensor_32,recovery,897.3002,86.24417634000011,908.9795,738.95948,1499.3511999999998,11.679300000000012,0.13542131765461762
sensor_33,abnormal,515.6586,35.84289282000001,546.6656,330.97832,599.93776,31.007000000000062,0.8650808447776412
sensor_33,normal_clean,515.6586,35.84289282000001,515.6586,467.77114,601.61376,0.0,0.0
sensor_33,normal_contaminated,515.6586,35.84289282000001,68.02364,20.533593,135.09215999999998,-447.63496,12.488806700061433
sensor_33,normal_suspect,515.6586,35.84289282000001,521.5139,110.78664,850.27252,5.855300000000057,0.163360140304659
sensor_33,recovery,515.6586,35.84289282000001,532.5555,482.80854,633.8640999999999,16.896900000000073,0.4714156327965737
sensor_34,abnormal,266.767,106.92155375999997,261.7709,171.44891,357.30265999999995,-4.996100000000013,0.04672678075006693
sensor_34,normal_clean,266.767,106.92155375999997,266.767,162.10866000000001,367.01158,0.0,0.0
sensor_34,normal_contaminated,266.767,106.92155375999997,65.24342999999999,60.7479315,85.50269,-201.52357,1.884779662408827
sensor_34,normal_suspect,266.767,106.92155375999997,181.4736,67.485452,324.56239999999997,-85.29339999999999,0.7977194213942371
sensor_34,recovery,266.767,106.92155375999997,193.1559,157.9419,303.6579199999998,-73.6111,0.6884589440706236
sensor_35,abnormal,496.6725,68.09878320000001,411.1652,351.4409,658.742338183594,-85.50729999999999,1.2556362387397249
sensor_35,normal_clean,496.6725,68.09878320000001,496.6725,313.82682,576.0022200000001,0.0,0.0
sensor_35,normal_contaminated,496.6725,68.09878320000001,92.89652000000001,8.315801850000003,139.277475,-403.77598,5.929268645140783
sensor_35,normal_suspect,496.6725,68.09878320000001,388.9065,85.015562,694.3506999999998,-107.76600000000002,1.5824952361263336
sensor_35,recovery,496.6725,68.09878320000001,511.9011,346.84524,610.7296399999999,15.228599999999972,0.2236251410730048
sensor_36,abnormal,815.6448,63.51072924,367.8615,261.24264,754.0503499999999,-447.78330000000005,7.050514225838545
sensor_36,normal_clean,815.6448,63.51072924,815.6448,199.11228,874.66404,0.0,0.0
sensor_36,normal_contaminated,815.6448,63.51072924,97.60552,26.192925000000002,123.0042,-718.0392800000001,11.305794919888406
sensor_36,normal_suspect,815.6448,63.51072924,383.4714,89.94986,909.11364,-432.1734,6.804730557680493
sensor_36,recovery,815.6448,63.51072924,682.2244,286.27912000000003,892.3458799999996,-133.4204000000001,2.100753708807518
sensor_37,abnormal,54.11073,43.20114040199999,72.70645,25.663331999999997,102.50627399999998,18.595720000000007,0.4304451185075457
sensor_37,normal_clean,54.11073,43.20114040199999,54.11073,0.0,114.36306000000002,0.0,0.0
sensor_37,normal_contaminated,54.11073,43.20114040199999,86.53043,16.619010000000003,125.019615,32.4197,0.7504362083575722
sensor_37,normal_suspect,54.11073,43.20114040199999,86.42102,0.0,127.64699999999999,32.31029,0.7479036363240124
sensor_37,recovery,54.11073,43.20114040199999,72.20411999999999,17.697174,122.40867999999998,18.093389999999992,0.4188174161986326
sensor_38,abnormal,49.73958,5.79140625,48.69791,31.197917,282.86455899999976,-1.0416699999999963,0.1798647780925395
sensor_38,normal_clean,49.73958,5.79140625,49.73958,41.92708,61.19791,0.0,0.0
sensor_38,normal_contaminated,49.73958,5.79140625,50.0,40.37760100000001,63.80208,0.2604200000000034,0.04496662619722169
sensor_38,normal_suspect,49.73958,5.79140625,49.73958,38.80208,64.32291,0.0,0.0
sensor_38,recovery,49.73958,5.79140625,29.9479160308838,24.739582061767603,59.11458,-19.791663969116197,3.4174193822296957
sensor_39,abnormal,35.67708,4.633125,32.8125,24.244795,303.7499999999997,-2.8645799999999966,0.6182824767300681
sensor_39,normal_clean,35.67708,4.633125,35.67708,29.6875,44.27083,0.0,0.0
sensor_39,normal_contaminated,35.67708,4.633125,35.67708,28.38542,44.01041,0.0,0.0
