sensor_a,sensor_b,correlation_abnormal,abs_correlation_abnormal,correlation_clean,abs_correlation_clean,correlation_delta_abnormal_vs_clean,abs_correlation_delta_abnormal_vs_clean
sensor_40,sensor_47,0.9867963038446219,0.9867963038446219,0.14636361136794804,0.14636361136794804,0.8404326924766738,0.8404326924766738
sensor_14,sensor_20,0.9995849974791111,0.9995849974791111,0.15978947391522846,0.15978947391522846,0.8397955235638827,0.8397955235638827
sensor_10,sensor_14,0.8686576839188527,0.8686576839188527,0.02976056561934298,0.02976056561934298,0.8388971182995097,0.8388971182995097
sensor_17,sensor_19,0.998728635408531,0.998728635408531,0.16151919600466216,0.16151919600466216,0.8372094394038688,0.8372094394038688
sensor_39,sensor_46,0.9423453571372163,0.9423453571372163,-0.1068410141992132,0.1068410141992132,1.0491863713364296,0.8355043429380031
sensor_16,sensor_19,0.999751384872729,0.999751384872729,0.16691831790682735,0.16691831790682735,0.8328330669659016,0.8328330669659016
sensor_30,sensor_33,0.92186765146519,0.92186765146519,0.08980608611424085,0.08980608611424085,0.8320615653509491,0.8320615653509491
sensor_18,sensor_19,0.9969508306061025,0.9969508306061025,0.16587926291008853,0.16587926291008853,0.8310715676960139,0.8310715676960139
sensor_10,sensor_17,0.8608919527974308,0.8608919527974308,0.035571584648341065,0.035571584648341065,0.8253203681490897,0.8253203681490897
sensor_26,sensor_30,0.9376664190401673,0.9376664190401673,0.11458085114063164,0.11458085114063164,0.8230855678995357,0.8230855678995357
sensor_41,sensor_43,0.9966737397894612,0.9966737397894612,0.1754136076764866,0.1754136076764866,0.8212601321129746,0.8212601321129746
sensor_28,sensor_51,0.8512694804381025,0.8512694804381025,-0.03241250607025974,0.03241250607025974,0.8836819865083622,0.8188569743678428
sensor_10,sensor_18,0.8539443339416188,0.8539443339416188,0.03559905021564925,0.03559905021564925,0.8183452837259696,0.8183452837259696
sensor_03,sensor_26,0.8411937052298488,0.8411937052298488,0.02475334570354995,0.02475334570354995,0.8164403595262989,0.8164403595262989
sensor_27,sensor_32,0.8194073637184343,0.8194073637184343,0.005731280760687938,0.005731280760687938,0.8136760829577463,0.8136760829577463
sensor_10,sensor_24,0.8684717916291909,0.8684717916291909,0.05482002387176961,0.05482002387176961,0.8136517677574212,0.8136517677574212
sensor_20,sensor_29,0.9057697606323415,0.9057697606323415,-0.09324793635429458,0.09324793635429458,0.9990176969866361,0.8125218242780469
sensor_20,sensor_22,0.9777339444236398,0.9777339444236398,0.16671498867470558,0.16671498867470558,0.8110189557489342,0.8110189557489342
sensor_12,sensor_32,0.8215824696104684,0.8215824696104684,0.013427576206101296,0.013427576206101296,0.8081548934043672,0.8081548934043672
sensor_28,sensor_29,0.9517186706653499,0.9517186706653499,0.14503325568056064,0.14503325568056064,0.8066854149847893,0.8066854149847893
sensor_17,sensor_29,0.8989274134038315,0.8989274134038315,-0.09240677467951526,0.09240677467951526,0.9913341880833468,0.8065206387243162
sensor_02,sensor_10,0.819293443803364,0.819293443803364,-0.013674131790659407,0.013674131790659407,0.8329675755940235,0.8056193120127045
sensor_24,sensor_26,0.9535020629360591,0.9535020629360591,0.1515222962026583,0.1515222962026583,0.8019797667334008,0.8019797667334008
sensor_25,sensor_32,0.9429428078763179,0.9429428078763179,0.14467377053976216,0.14467377053976216,0.7982690373365557,0.7982690373365557
sensor_10,sensor_30,0.8602402371887335,0.8602402371887335,-0.06210378490308738,0.06210378490308738,0.9223440220918209,0.7981364522856462
sensor_27,sensor_29,0.9319779190031763,0.9319779190031763,-0.13427078567663597,0.13427078567663597,1.0662487046798121,0.7977071333265403
sensor_20,sensor_32,0.8977748741649787,0.8977748741649787,-0.10034936954153921,0.10034936954153921,0.9981242437065179,0.7974255046234395
sensor_21,sensor_32,0.897432946621138,0.897432946621138,-0.10596353586228016,0.10596353586228016,1.0033964824834183,0.7914694107588579
sensor_18,sensor_29,0.8899351898806792,0.8899351898806792,-0.10189963150908776,0.10189963150908776,0.991834821389767,0.7880355583715914
sensor_29,sensor_30,0.8984709672156354,0.8984709672156354,-0.11470264253022334,0.11470264253022334,1.0131736097458588,0.783768324685412
sensor_19,sensor_32,0.8965333795496574,0.8965333795496574,-0.11323847233936006,0.11323847233936006,1.0097718518890175,0.7832949072102974
sensor_27,sensor_28,0.9941066557572096,0.9941066557572096,-0.21135327729401535,0.21135327729401535,1.205459933051225,0.7827533784631943
sensor_21,sensor_23,0.9867700511232824,0.9867700511232824,0.20528318622481093,0.20528318622481093,0.7814868648984715,0.7814868648984715
sensor_24,sensor_29,0.9052811929970302,0.9052811929970302,0.12429219005259247,0.12429219005259247,0.7809890029444377,0.7809890029444377
sensor_22,sensor_28,0.94093418470474,0.94093418470474,-0.16021472136495302,0.16021472136495302,1.101148906069693,0.7807194633397869
