sensor_a,sensor_b,correlation,abs_correlation
sensor_40,sensor_49,0.16775411809199378,0.16775411809199378
sensor_07,sensor_29,-0.16771917055653557,0.16771917055653557
sensor_03,sensor_05,-0.16769383912249414,0.16769383912249414
sensor_28,sensor_34,0.16716968170260826,0.16716968170260826
sensor_01,sensor_44,0.16711696454189004,0.16711696454189004
sensor_01,sensor_08,0.16695874827564405,0.16695874827564405
sensor_16,sensor_19,0.16691831790682735,0.16691831790682735
sensor_01,sensor_43,0.1667999648911097,0.1667999648911097
sensor_20,sensor_22,0.16671498867470558,0.16671498867470558
sensor_03,sensor_38,0.16671459099811115,0.16671459099811115
sensor_22,sensor_49,0.16635104974971404,0.16635104974971404
sensor_18,sensor_19,0.16587926291008853,0.16587926291008853
sensor_07,sensor_42,-0.1658170028914697,0.1658170028914697
sensor_03,sensor_32,0.1656840473375077,0.1656840473375077
sensor_11,sensor_22,0.16509992968915221,0.16509992968915221
sensor_29,sensor_40,-0.16406926989527013,0.16406926989527013
sensor_01,sensor_38,0.16291025639756598,0.16291025639756598
sensor_21,sensor_35,0.16236665065081046,0.16236665065081046
sensor_10,sensor_49,-0.16234310008147512,0.16234310008147512
sensor_13,sensor_34,0.16214173168515741,0.16214173168515741
sensor_03,sensor_28,-0.16173933382522077,0.16173933382522077
sensor_08,sensor_29,-0.16168879080746135,0.16168879080746135
sensor_05,sensor_43,-0.16157061337114242,0.16157061337114242
sensor_39,sensor_49,-0.16151966702486784,0.16151966702486784
sensor_17,sensor_19,0.16151919600466216,0.16151919600466216
sensor_12,sensor_45,0.16147140074443436,0.16147140074443436
sensor_00,sensor_03,0.16128461377417797,0.16128461377417797
sensor_05,sensor_42,0.16082698381937952,0.16082698381937952
sensor_19,sensor_35,0.1603879206843685,0.1603879206843685
sensor_22,sensor_28,-0.16021472136495302,0.16021472136495302
sensor_32,sensor_47,0.1599822879420143,0.1599822879420143
sensor_14,sensor_20,0.15978947391522846,0.15978947391522846
sensor_30,sensor_44,0.15948322915367039,0.15948322915367039
sensor_05,sensor_24,-0.15943223569923312,0.15943223569923312
sensor_08,sensor_45,0.15899467118308191,0.15899467118308191
sensor_34,sensor_45,-0.1579911490024364,0.1579911490024364
sensor_01,sensor_28,-0.15663633690749384,0.15663633690749384
sensor_06,sensor_26,0.15657171556552635,0.15657171556552635
sensor_02,sensor_04,0.15648753766415882,0.15648753766415882
sensor_11,sensor_25,-0.15641601525696153,0.15641601525696153
sensor_03,sensor_37,-0.15613919088570782,0.15613919088570782
sensor_08,sensor_39,-0.1559855999716244,0.1559855999716244
sensor_12,sensor_44,0.1554599126247994,0.1554599126247994
sensor_22,sensor_27,0.15540966974426867,0.15540966974426867
sensor_03,sensor_09,0.15500286175344408,0.15500286175344408
sensor_07,sensor_36,0.15482196873796555,0.15482196873796555
sensor_26,sensor_43,0.15446563862860047,0.15446563862860047
sensor_22,sensor_44,0.1538452659865854,0.1538452659865854
sensor_29,sensor_44,-0.15381729473350447,0.15381729473350447
sensor_13,sensor_45,0.15343366887248688,0.15343366887248688
sensor_05,sensor_10,-0.15318555222260538,0.15318555222260538
sensor_05,sensor_36,-0.15248985679648697,0.15248985679648697
sensor_05,sensor_12,-0.15247938552591733,0.15247938552591733
sensor_05,sensor_35,-0.15233272213293805,0.15233272213293805
sensor_31,sensor_49,-0.1523170722838962,0.1523170722838962
sensor_19,sensor_49,0.15224490304969435,0.15224490304969435
sensor_10,sensor_23,0.1521095775312821,0.1521095775312821
sensor_45,sensor_47,0.15205032116579673,0.15205032116579673
sensor_24,sensor_26,0.1515222962026583,0.1515222962026583
sensor_26,sensor_40,0.1514279615350148,0.1514279615350148
sensor_09,sensor_40,0.15138297471246248,0.15138297471246248
sensor_25,sensor_29,-0.14980632306731814,0.14980632306731814
sensor_35,sensor_49,0.14971951177611603,0.14971951177611603
sensor_36,sensor_47,0.14970408457460965,0.14970408457460965
sensor_24,sensor_40,0.14958489987240323,0.14958489987240323
sensor_19,sensor_29,-0.1493417203116024,0.1493417203116024
sensor_02,sensor_43,0.14926678538331647,0.14926678538331647
sensor_30,sensor_49,0.1484351417783856,0.1484351417783856
sensor_00,sensor_32,0.14825918815271824,0.14825918815271824
sensor_12,sensor_46,0.14821399259969542,0.14821399259969542
