sensor,std_full_dataset,missing_count_full_dataset,row_count_full_dataset,median_clean,median_contaminated,median_abnormal,median_recovery,clean_vs_contaminated_shift,clean_vs_abnormal_shift,clean_vs_recovery_shift,clean_vs_contaminated_shift_zish,clean_vs_abnormal_shift_zish,clean_vs_recovery_shift_zish,hotspot_score
sensor_07,2.2011552715563485,5451,220320,16.16753,16.13136,15.91435,11.34983,-0.03616999999999848,-0.25317999999999863,-4.8176999999999985,0.016432280115534114,0.11502141773986949,2.188714291197457,2.188714291197457
sensor_08,2.037390473814556,5107,220320,15.56713,15.29224,15.18374,11.14005,-0.27489000000000097,-0.38339000000000034,-4.42708,0.13492259021184644,0.18817698665400587,2.1729168055406127,2.1729168055406127
sensor_38,10.540397449605745,27,220320,49.73958,50.0,48.69791,29.9479160308838,0.2604200000000034,-1.0416699999999963,-19.791663969116197,0.02470684822323699,0.0988264441621183,1.8776961745267478,1.8776961745267478
sensor_09,2.0919634633850315,4595,220320,15.08247,15.05353,15.05353,11.29196,-0.02894000000000041,-0.02894000000000041,-3.790510000000001,0.01383389361550906,0.01383389361550906,1.8119389111445239,1.8119389111445239
sensor_40,21.371138596449008,27,220320,68.22916,63.54166,71.61458,29.9479160308838,-4.687499999999993,3.3854200000000105,-38.28124396911619,0.2193378691006599,0.158410839212962,1.7912589821244684,1.7912589821244684
sensor_27,169.82317273433404,16,220320,494.2364,228.0679,502.5955,503.6285,-266.1685,8.359100000000012,9.39209999999997,1.5673273306251645,0.04922237563584283,0.05530517330925546,1.5673273306251645
sensor_48,82.24495680481613,27,220320,159.4329,95.77546,144.6759,31.5393524169922,-63.657439999999994,-14.756999999999977,-127.89354758300779,0.7739980963340031,0.17942741504529347,1.555032096211382,1.555032096211382
sensor_51,109.58860723922459,15383,220320,199.9421,192.9977,231.62615,36.16898,-6.944400000000002,31.684049999999985,-163.77312,0.06336790086984902,0.28911810085181416,1.4944356363841202,1.4944356363841202
sensor_41,7.898665188403748,27,220320,35.15625,35.416664123535206,35.41666,25.7812480926514,0.260414123535206,0.26041000000000025,-9.3750019073486,0.03296938372796549,0.03296886167327556,1.186909646596023,1.186909646596023
sensor_49,19.14359771574666,27,220320,53.81944,50.63657,49.76852,31.5393524169922,-3.182870000000001,-4.050919999999998,-22.2800875830078,0.1662628962048192,0.2116070375145782,1.1638401471778317,1.1638401471778317
sensor_43,11.04440379204878,27,220320,43.22916,42.96875,42.70833,30.989582061767603,-0.26041000000000025,-0.5208300000000037,-12.239577938232397,0.02357845700892227,0.047157819453773134,1.1082153612532768,1.1082153612532768
sensor_47,10.442437087822851,27,220320,43.40278,41.956016540527294,43.98148,32.986110687255895,-1.446763459472706,0.5786999999999978,-10.416669312744105,0.13854653346772927,0.05541809781883505,0.9975323983413035,0.9975323983413035
sensor_44,11.576355111238612,27,220320,41.08796,39.6412,37.32639,30.6713,-1.4467600000000047,-3.761569999999999,-10.416660000000004,0.12497543364020115,0.32493560916666886,0.8998220856137397,0.8998220856137397
sensor_46,15.641283544570685,27,220320,46.00694,43.11343,39.0625,32.1180572509766,-2.893509999999999,-6.94444,-13.888882749023402,0.18499185132439966,0.44398146611251194,0.8879631079793597,0.8879631079793597
sensor_37,37.60488300845716,16,220320,54.11073,86.53043,72.70645,72.20411999999999,32.4197,18.595720000000007,18.093389999999992,0.8621141034452617,0.4945028015595187,0.481144695914381,0.8621141034452617
sensor_13,6.901754669826304,19,220320,5.620381,1.879081,6.803444,0.0,-3.7413,1.1830629999999998,-5.620381,0.542079540490847,0.17141481501395844,0.8143408841481535,0.8143408841481535
sensor_45,12.837519873410512,27,220320,40.50926,39.6412,37.90509,30.96065,-0.8680599999999998,-2.6041699999999963,-9.548609999999996,0.06761898003351519,0.20285616113388363,0.7438048855353585,0.7438048855353585
sensor_39,15.613722837913935,27,220320,35.67708,35.67708,32.8125,24.4791660308838,0.0,-2.8645799999999966,-11.197913969116197,0.0,0.1834655341161876,0.7171841133188893,0.7171841133188893
sensor_42,10.259520723329524,27,220320,35.15625,35.41666,32.8125,28.3854160308838,0.26041000000000025,-2.34375,-6.7708339691162,0.02538227730344594,0.22844634395741853,0.6599561667359116,0.6599561667359116
