feature,count,mean,std,min,p01,p05,p25,p50,p75,p95,p99,max
sensor_27,205820,500.0395430975575,172.68601900278605,0.0,82.08391440000001,214.74778500000002,446.336325,493.2957,535.9849750000001,780.4030549999993,1162.843,2000.0
sensor_22,205795,456.53725237934225,158.8850187233328,0.0,0.0,0.0,479.3203,531.7361,534.2551,537.78222,544.0978240000001,594.0611
sensor_33,205820,482.2234287351885,154.1224372021787,6.460602,44.9434754,69.747575,488.3497,511.2878,553.04285,605.9111,837.0003899999996,1578.6
sensor_35,205820,423.7011115708457,143.80191867799675,0.0,41.792611900000004,90.21525050000001,349.7464,471.321,527.3983999999999,578.955375,690.6977279999987,694.479125976563
sensor_17,205790,418.5704298053522,133.04817489493865,0.0,0.0,0.0,454.12955,462.0167,466.855575,480.191665,570.3433349999989,599.999938964844
sensor_16,205805,413.4912144067018,129.73325286190797,0.0,4.9148692,32.03072,459.539,462.8291,464.2583,466.6503,470.865412,739.7415
sensor_14,205815,374.1067333866416,116.48033382405465,32.40955,36.583549499511705,40.8959,418.20375,420.0985,420.9639,423.73082999999997,430.79187399999995,500.0
sensor_20,205820,358.45104652702327,104.88776062895658,0.0,57.005555699999995,64.82750300000001,398.0567,399.3728,400.0987,403.57232,406.771867,448.9079
sensor_34,205820,235.8986884820585,90.19350270753834,54.88237,61.706573999999996,65.4716935,172.1806,227.0549,320.605275,364.39826999999997,380.5381,425.5498
sensor_48,205814,158.88626764421016,78.70759836055471,28.93518,45.138889312744105,59.02778000000001,92.59259,146.1227,213.2523,302.3727,366.6088,561.632
sensor_51,193452,200.72087444950557,62.30434136275037,30.9606475830078,46.58565,147.2801,181.4236,198.4954,217.0139,253.1829,294.8495,1000.0
sensor_04,205822,625.6732839412786,50.82268415049866,2.798032,345.699083463867,602.8936,628.2407,633.3333740234381,637.9630000000001,644.7916,649.7685,800.0
sensor_37,205820,60.10886551785891,37.88177439489558,0.0,0.0,0.0,27.49936,63.508845,90.62384,119.63580499999998,134.782439,174.9012
sensor_49,205814,58.569956042613384,17.939210430054985,29.224536895752,39.6412,43.6921310424805,48.90046,53.53009,61.342594146728494,93.1713,126.9502689999973,458.6227
sensor_40,205814,70.9709981846353,17.89694439537592,30.46875,45.83333,51.04166,59.11458,67.44791,78.64583,102.0833,127.6042,512.7604
sensor_46,205814,48.85862615514499,14.677281182507123,29.5138893127441,34.7222213745117,37.326389312744105,41.08796,45.13889,51.79398,71.18056,104.1667,370.3704
sensor_45,205814,43.78459338869015,12.439904100857333,27.199070000000003,32.4074058532715,34.432868957519496,37.61574,40.50926,45.42824,63.65741,94.03935,311.3426
sensor_44,205814,43.3806281029692,11.174819147581365,27.199070000000003,32.1180572509766,33.85417,37.61574172973629,40.798610687255895,45.42824,59.89583,84.20139,1000.0
sensor_39,205814,36.71107384232763,10.593935264258567,21.3541660308838,27.34375,29.16667,32.8125,35.67708,39.0625,44.53125,52.34375,547.9166
sensor_47,205814,45.04710173482113,9.9969734144184,28.93518,34.43287,36.4583320617676,39.6412,43.1134262084961,46.875,60.474540000000005,84.20139,220.4861
sensor_05,205822,75.38976408261735,9.381706886976913,0.0,44.1781028,62.9656435,70.5011575,75.648,80.6028025,89.05558850000001,97.61157,99.99988
sensor_38,205814,50.66402305737356,7.664509644334879,27.6041660308838,37.76041,41.40625,46.09375,49.73958,53.90625,61.71875,71.875,408.5937
sensor_11,205822,44.769888963101494,7.602400649599189,0.0,13.8274586,34.404871,40.3111775,45.98522,49.935885,54.3259985,57.21660110000001,60.0
sensor_43,205814,44.226583481170096,7.487651574327182,28.90625,34.375,36.71875,40.36458,43.22916,46.875,54.42708,65.10416,302.0833
sensor_13,205822,7.572760392618955,6.873284554393043,0.0,0.020161998,0.60145702,1.7421235,3.8065255000000002,13.07652,19.94015,21.837500500000008,31.18755
sensor_12,205822,31.17233926498585,6.802213521012031,0.0,4.67750367,15.1436355,29.8611525,32.8352,35.110105,38.136869000000004,40.3851658,45.0
sensor_42,205814,35.433286549973104,6.24914009354717,23.95833,28.9062480926514,30.208332061767603,33.07291,35.15625,37.5,40.625,42.96875,330.4688
sensor_10,205822,44.268913401969684,6.048122078386731,0.0,16.3486762,37.08630900000001,41.513927499999994,44.69339,47.6933675,51.986523,55.468939800000015,76.10686
sensor_41,205814,35.58195128724184,5.2182670421260005,22.39583,28.3854160308838,29.94792,32.8125,35.15625,37.76041,41.92708,46.09375,219.0104
sensor_01,205497,48.18011560275459,2.240172841721858,0.0,43.22916,44.35764,46.70139,48.26389,49.56597,51.73611,54.21007,56.727430000000005
sensor_02,205822,51.636949288953424,1.8782990350830115,37.41319,45.53862439345705,48.91493,50.65104,51.736110687255895,52.907985687255895,54.2100677490234,54.90451,56.032990000000005
sensor_03,205822,44.16706022110404,1.668260248563526,33.28993,39.49652,41.27604,43.142360687255895,44.357635498046896,45.355899810790994,46.6145820617676,47.265625,48.220490000000005
sensor_06,205822,13.865072554516981,0.8649434318447331,0.01446759,11.224177000000001,13.057,13.38252,13.67911,14.56887,15.0897,15.19821,15.96499
sensor_18,205790,2.290436176452834,0.7881439414674937,0.0,0.0,0.0,2.447299,2.5336305,2.58764575,2.7392525,3.8613729899999902,4.87325
sensor_07,205822,16.165958967517327,0.6004569409879202,0.02893518,14.68461,15.625,15.95052,16.16753,16.42795,16.70284,17.62153,19.13339
sensor_08,205822,15.478129193161207,0.588605912974748,0.02893518,13.99016,14.91609,15.18374,15.49479,15.69734,16.19647,17.15856,19.53848
sensor_09,205822,15.086661767032783,0.572969384652558,0.007233796,13.80932,14.79311,15.05353,15.08247,15.11863,15.59606,16.57986,18.98871
sensor_00,205822,2.4204760216004546,0.242471833326895,0.0,0.6837384,2.3011,2.444734,2.456539,2.499826,2.510648,2.519502,2.549016
