feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
sensor_26,0.02124104286150364,0.0025940901718706456,-0.0022762070085318407,-0.01951354877326151,0.00031109632070845666,0.01657358803921512,-0.002418054580030674,0.0009597034640704827,0.0016151510767454594,0.02902525585242312
sensor_27,0.008936708563576834,-0.00039763406727539647,0.0009156547125199552,-0.030144785365899512,0.017143616576629005,0.17803928876246933,0.01839162842328959,0.03871858507032037,-0.046824351208423674,0.11767028765483917
sensor_28,0.010677721599788668,-0.003820149606129096,-0.011038174404352718,-0.015414595411942964,-0.005140293798847826,0.03542329082797553,0.013260631996591069,-0.041161665639990866,-0.0033492013681302307,-0.012518493493489468
sensor_29,0.007891872544434091,-0.0015320089398235459,0.00514610214105003,-0.006672766988983292,-0.00736596450868527,0.0394120169005706,0.011310897968170008,-0.034410320046097606,-0.01183302974510823,-0.01967223824212681
sensor_30,0.026541640468785994,-0.0004732127828721818,-0.009099325061231336,-0.06436147340308919,-0.002116271241629439,0.13867043407760996,-0.004854080261626634,0.03786706082676228,-0.03151719546078022,0.13592106181171376
sensor_31,0.01762624259549315,-0.0021110708268022573,-0.014181545170818518,-0.03683711811679926,-0.009029606214022982,0.12127248646414585,0.004071418758297746,-0.02330296122318166,-0.008492384386359589,0.022430436741389857
sensor_32,0.013441195172876457,-0.00020149428860516945,-0.00909358681709413,-0.01800097412937839,-0.002573868652257017,0.06657115649819857,0.001437748167832903,-0.0046417379950192215,-0.010495030395152084,0.022801536044338676
sensor_33,0.02167554750480912,-0.0026165545165460964,-0.0014603749426481518,-0.01028433292720911,-0.011532352141594928,0.10030736150007824,0.01729985501720581,-0.02354760784622738,-0.023766240586301845,-0.017164071969058378
sensor_34,0.004030917010134937,0.0021807798151620233,0.00232234735601556,0.003601653236503616,0.003691175174112789,0.006234600853587527,0.000805402773685022,0.0028583287949888077,0.006580263154024073,-0.00697853290866122
sensor_35,0.006579455554822392,0.0013025586602678134,-0.00497808107702012,0.005217225985368717,0.00588800568789795,0.017151955575313155,-0.002454076273477086,0.029389515152229186,0.0003046675193874946,0.017548729521935796
sensor_36,0.0034967119903066674,0.001613331749411559,0.0005874618461654557,-0.0002685226495220142,0.004341770133182986,-0.00405187628420923,-0.0039659319975509245,0.0163591540999434,0.002630510454394137,0.005080593851598433
sensor_37,-0.0013476262719484173,-0.0024971499647226778,-0.0012153333544226805,-0.0007718501874395892,-0.0023051221905135734,0.004438158785432786,0.02308561797413341,-0.030326050136022062,0.004160295103494239,-0.029338526975381522
sensor_38,-0.0004529988290806955,0.008777263827061855,0.029889177234112437,0.00316591667200507,-0.05078180529284628,-0.004404554222904972,0.21451753325397374,0.03344214140529794,0.018733712465980188,0.0024942161835853002
sensor_39,0.000584455832725843,0.0014358642741574101,-0.0008391217667878434,-0.0023251517894978292,-0.11351673443817867,-0.02962667901422457,0.6058333461237444,0.02345870303037536,0.04856331895277602,-0.07362758041664398
sensor_40,0.0006063396301265715,0.008573981477297219,0.028323713197508423,-0.0012448159994339978,-0.028447289374327053,-0.0031416032102292712,0.15443497255893646,0.045983874834704105,-0.0021843480829531908,0.01750732823019417
