sensor,state_scope,count,mean,std,min,max,median,iqr,p01,p05,p25,p50,p75,p95,p99,skewness,kurtosis,robust_std,distribution_family,lower_bound,upper_bound
sensor_40,recovery,14472,38.57871581658064,37.52015620214602,23.4375,490.1042,29.9479160308838,9.1145820617676,23.6979160308838,24.47917,27.34375,29.9479160308838,36.4583320617676,64.32291,249.7396,7.783102610014542,68.57684728721709,6.75654711769281,right_skewed,23.6979160308838,249.7396
sensor_42,recovery,14472,35.731935268805266,32.33343427550887,22.1354160308838,374.2188,28.3854160308838,7.2916620617676,22.1354160308838,23.4375,25.26042,28.3854160308838,32.5520820617676,69.38801899999972,162.1302319999995,6.858112745903187,56.96669652059009,5.405235034668347,right_skewed,22.1354160308838,162.1302319999995
sensor_43,recovery,14472,38.934632804591054,32.11820911791901,24.4791660308838,408.5937,30.989582061767603,9.635409999999997,24.73958,25.2604160308838,28.38542,30.989582061767603,38.02083,64.32291,178.50260899999876,7.79159060933214,72.14440435554506,7.142631578947366,right_skewed,24.73958,178.50260899999876
sensor_37,recovery,14477,70.43295333098631,31.901910134589215,0.0,165.4018,72.20411999999999,47.34249,0.01543203,17.697174,45.66668,72.20411999999999,93.00917,122.40867999999998,133.88366399999998,-0.060251316846777904,-0.6349530031938642,35.09450704225352,bounded_normal,0.01543203,133.88366399999998
sensor_48,recovery,14472,37.15130334376489,31.809965763717226,26.331018447876,502.3148,31.5393524169922,5.7870368957519,26.331018447876,27.199073791503896,29.224536895752,31.5393524169922,35.0115737915039,58.1597213745117,174.40396899999834,9.32362831141885,102.33274108012627,4.289871679578873,right_skewed,26.331018447876,174.40396899999834
sensor_17,recovery,14477,457.4759785521862,27.654485834690504,174.4065,599.243,462.0662,12.63590000000005,327.96518399999997,442.77796,454.2408,462.0662,466.8767,473.26776,478.53718,-7.204234185006009,61.948311408684646,9.366864343958524,left_skewed,327.96518399999997,478.53718
sensor_16,recovery,14477,458.8564012157215,25.759110455280805,195.4578,612.6765,463.2863,12.785799999999995,368.98755199999994,448.4282,452.6753,463.2863,465.4611,469.0365,478.375292,-7.954234076099519,77.31304111806992,9.477983691623422,left_skewed,368.98755199999994,478.375292
sensor_20,recovery,14477,394.27474262899767,25.13019260905824,89.90998,425.4048,399.2862,8.305800000000033,297.41874800000005,389.1754,391.6584,399.2862,399.9642,400.88256,401.735656,-9.0867975068629,88.63378698080568,6.1570051890289355,left_skewed,297.41874800000005,401.735656
sensor_38,recovery,14472,35.29892716511197,25.050466693906323,24.4791660308838,417.7083,29.9479160308838,6.7708339691162,24.4791660308838,24.739582061767603,27.3437480926514,29.9479160308838,34.1145820617676,59.11458,135.3073319999995,8.5428273878588,97.4344925645991,5.0191504589445515,right_skewed,24.4791660308838,135.3073319999995
sensor_41,recovery,14472,32.2705040997428,23.452692249464693,20.83333,420.3125,25.7812480926514,7.812498092651399,20.833332061767603,21.09375,23.4375,25.7812480926514,31.2499980926514,72.13541,141.6667,5.679950447496403,50.69480175554809,5.791325494923202,right_skewed,20.833332061767603,141.6667
sensor_49,recovery,14472,36.49714274122134,23.37243184486813,26.62037,464.4097,31.5393524169922,5.7870368957519,26.6203708648682,27.488426208496104,29.224536895752,31.5393524169922,35.0115737915039,60.474536895752,144.75982599999975,8.4820575993544,101.55467754646526,4.289871679578873,right_skewed,26.6203708648682,144.75982599999975
sensor_46,recovery,14472,36.068412058570736,22.51885147425812,26.331018447876,301.5046,32.1180572509766,5.787036895751999,26.331018447876,27.199073791503896,29.5138893127441,32.1180572509766,35.3009262084961,48.90046,184.9044949999981,7.548065970181515,62.880508789583786,4.289871679578947,right_skewed,26.331018447876,184.9044949999981
