pca_1,pca_2,anomaly_flag
33.65578785100888,6.850516732893919,0
32.540904195518,5.334814094147536,0
33.495384913602635,6.749661577107123,0
-234.56474299408578,-1.7041723931454404,0
-268.4397816161694,0.4068171846754689,0
33.629181244084386,4.31092790127439,0
33.484505493138855,5.762207866738723,0
32.960143162888436,6.566559675434507,0
34.9511310491563,3.0967061289385147,0
33.70920150673652,6.655740627338827,0
29.49106724472062,5.228371708412443,0
33.35448391375047,6.495422573405283,0
49.53674036437347,5.508015300973651,0
33.39979471792463,3.165268779120333,0
13.515263556425925,5.281718217004839,0
33.12374782980217,5.175054192921853,0
33.74678235992231,6.477941722531106,0
34.20310721013003,5.096745770700169,0
24.203277772606736,5.002731049531598,0
32.59785327422168,5.551141486225239,0
33.91475318039958,5.37788713151007,0
-271.4254831388739,-2.7485974906243795,0
32.76333684991596,5.541855172931942,0
33.13055458811572,6.421168138073086,0
18.948624342227486,6.628505427432999,0
-268.3193732000523,1.7023602649445504,0
33.96152581788505,-19.308987409857036,0
25.20654328753824,6.147580593778437,0
33.80914122993128,-3.531521873014513,0
28.926380517113632,-228.09454271153618,1
38.04676138459012,6.845137196762005,0
33.73071181237415,6.1228197489807465,0
33.462384675463646,6.151588700596819,0
-266.29550049216675,-1.991702313433513,0
28.688029744056653,-232.37050885025062,1
13.995448351973078,6.0316543937520235,0
33.194413741064174,6.6998798625481255,0
33.22095647954827,4.375730943397384,0
33.695258664468106,4.663876644338933,0
37.34866031425959,5.250592759197495,0
33.245315872707124,6.312010828597837,0
33.41285470439218,6.683440904118724,0
16.698753175353026,6.020347637996229,0
33.93885893070469,5.74525494231151,0
-263.0348876032295,1.8692608106431354,0
33.45335403092949,5.6249215507808765,0
-262.51128971228087,-2.702724374593836,0
32.508935025348514,14.543693395071855,0
33.73900539982044,5.759199605758606,0
-270.4194441584429,1.4765168009168175,0
34.08997975513646,5.335886493460403,0
34.00792344300912,1.715041769868396,0
33.34508883015634,2.3240468182214844,0
40.603212678746644,5.149819089781475,0
-244.39167869107771,0.2279565751830841,0
-54.15571415201075,4.66349636761514,0
33.74095426311873,5.830674301575244,0
-268.18152435579526,-2.7555348806994777,0
13.405077860655357,5.823233564085768,0
-255.99584186163648,-15.014911740856082,0
33.21045428248218,3.411919086322714,0
33.622834031950426,1.9867581009572723,0
34.41133024247316,8.024184752619071,0
32.627121824428436,6.17531295536899,0
37.67905511274637,5.755806572113572,0
-143.79743229174053,2.0582797984902927,0
33.44696648966286,6.186416906515674,0
33.52418501205046,5.990223849681415,0
33.58684913406214,6.165524241203414,0
37.37794262015383,7.413451048940487,0
32.92543942705794,5.337793571827563,0
32.28974873203785,6.856830245364641,0
33.13400293668078,18.035019465807355,0
36.71817196921962,10.510179361092835,0
33.69629233169432,6.124775866317675,0
33.135514033619415,12.2749774993617,0
33.3315297897797,5.528188186653379,0
33.02058287568716,5.719715679651904,0
-144.91199427797605,2.0945009848991933,0
33.221418310172474,12.613995858130421,0
33.47208965316719,6.524895645514156,0
33.63099656900037,6.20435267616295,0
35.249038367860926,-7.8055443391241655,1
33.587907113358774,5.895867302096576,0
33.29321830565421,5.70168550290052,0
26.215970606938154,6.512838271146084,0
34.12338263253623,5.735432644396816,0
34.44999623086513,5.8833160987898285,0
33.8360242483571,5.985984337809208,0
33.34608355557612,6.965232699002035,0
34.097823890423584,6.985768898298836,0
-272.19156092951494,0.8021493329221405,0
29.16525646473187,1.7517987159066508,0
35.49076492117743,6.093875153813791,0
-268.37788358052404,-2.5208600249411015,0
36.94652609447056,6.356935158149893,0
13.503019098214505,-1.8777691616709768,0
31.795511430602716,13.128818426753721,0
33.511045756269155,5.635322344881132,0
33.509686170273326,5.045177914603796,0
35.08743010685181,2.245629113372188,0
33.55553442215163,4.799927697079665,0
33.16998261806776,3.1794570758247946,0
33.392000297021504,4.801135991671876,0
33.68931236669633,5.071741261533696,0
33.60022297226596,4.916579095676129,0
33.75087103305393,5.199488029409015,0
13.789752367443516,5.07574581525554,0
34.306380653853175,-8.380453536852897,1
