sensor,state_scope,count,mean,std,min,max,median,iqr,p01,p05,p25,p50,p75,p95,p99,skewness,kurtosis,robust_std,distribution_family,lower_bound,upper_bound
sensor_38,abnormal,7,92.29909999999998,127.91740938496241,28.38542,381.7708,48.69791,8.463544999999996,28.9479194,31.197917,42.57812,48.69791,51.041664999999995,282.86455899999976,361.98955179999984,2.6217864749270148,6.906090104023301,6.273939955522606,right_skewed,28.9479194,361.98955179999984
sensor_48,abnormal,7,161.1689709851074,127.83021904859598,29.224536895752,409.1435,144.6759,113.13657,31.06481448200688,38.4259248270264,79.71643,144.6759,192.853,355.4976799999999,398.41433599999993,1.3409721704744026,1.9873447273632125,83.86699036323203,right_skewed,31.06481448200688,398.41433599999993
sensor_33,abnormal,7,511.01499999999993,117.21693397305414,258.6194,608.9143,546.6656,64.16005000000007,273.091184,330.97832,508.64639999999997,546.6656,572.80645,599.93776,607.118992,-2.11667971815289,4.9391778059148495,47.56119347664942,left_skewed,273.091184,607.118992
sensor_20,abnormal,7,358.75291428571427,102.91316264272561,125.4787,399.5446,399.093,4.787149999999997,141.3859,205.0147,394.39495,399.093,399.1821,399.44068,399.523816,-2.640544514141101,6.978522425108441,3.5486656782802055,left_skewed,141.3859,399.523816
sensor_17,abnormal,7,422.0236857142857,100.88076363349998,193.7957,470.9483,457.7386,11.384700000000066,209.11916000000002,270.413,452.22844999999995,457.7386,463.61315,469.03685,470.56601,-2.619204636530535,6.893154259189799,8.439362490733926,left_skewed,209.11916000000002,470.56601
sensor_16,abnormal,7,424.77391428571434,96.37372716557539,206.4634,464.8507,463.0843,7.396200000000022,221.155312,279.92296,456.05665,463.0843,463.45285,464.45092,464.77074400000004,-2.633559447285147,6.949316590166294,5.482727946627147,left_skewed,221.155312,464.77074400000004
sensor_14,abnormal,7,387.0258857142857,83.52690309565791,197.9393,421.6618,420.3359,7.029600000000016,210.51281600000002,260.80688000000004,413.79625,420.3359,420.82585,421.42126,421.613692,-2.6266740833919573,6.919646221836292,5.210971089696083,left_skewed,210.51281600000002,421.613692
sensor_34,abnormal,7,253.88452857142858,82.30482211559081,171.3203,363.032,261.7709,141.31445,171.346022,171.44891,174.6099,261.7709,315.92435,357.30265999999995,361.886132,0.21229933500237605,-1.9921590689994213,104.754966641957,bounded_normal,171.346022,361.886132
sensor_41,abnormal,7,58.18451743739536,68.3678201130285,23.177082061767603,212.7604,35.41666,7.03125,23.505206938061548,24.817706443237324,30.468745,35.41666,37.499995,160.80727899999988,202.36977579999993,2.6120330630115225,6.8665581562629185,5.2121942179392144,right_skewed,23.505206938061548,202.36977579999993
sensor_43,abnormal,7,64.95534714285714,60.99474319971891,32.29166,202.3437,42.70833,13.411459999999991,32.526035,33.463535,37.630205000000004,42.70833,51.041664999999995,157.0312139999999,193.28120279999993,2.571542485723164,6.6999792531793645,9.941779095626384,right_skewed,32.526035,193.28120279999993
sensor_51,abnormal,6,235.62884999999997,57.796449060777086,174.7685,324.6528,231.62615,75.66550000000001,175.216995,177.010975,189.23610000000002,231.62615,264.90160000000003,310.329875,321.78821500000004,0.5533510217613641,-0.8661358617832087,56.090066716086,bounded_normal,175.216995,321.78821500000004
sensor_42,abnormal,7,52.71576943298339,54.88243007578943,24.73958,176.8229,32.8125,6.119786984558097,25.052080161853027,26.30208080926514,30.5989580154419,32.8125,36.718745,134.8697779999999,168.43227559999994,2.613935376527468,6.87389570297341,4.536535941110524,right_skewed,25.052080161853027,168.43227559999994
sensor_47,abnormal,7,56.464948127964576,43.470063332418135,29.224536895752,153.9352,43.98148,7.378470000000007,29.46759228200688,30.4398138270264,38.339119999999994,43.98148,45.71759,121.55672199999992,147.45950439999996,2.5186377507663344,6.516215684928188,5.469584877687181,right_skewed,29.46759228200688,147.45950439999996
sensor_46,abnormal,7,55.266199901820585,34.37080441886994,29.5138893127441,127.8935,39.0625,22.569445,29.809028153979455,30.98958351892087,36.313655,39.0625,58.8831,109.66433899999996,124.24766779999997,2.0073230492883116,4.171815910501363,16.730500370644922,right_skewed,29.809028153979455,124.24766779999997
sensor_37,abnormal,7,62.00537142857142,31.41294196493935,23.78439,114.2079,72.70645,36.84589000000002,24.1601784,25.663331999999997,37.41177,72.70645,74.25766000000002,102.50627399999998,111.86757479999997,0.4037667593109626,-0.24735142569721713,27.313484062268362,bounded_normal,24.1601784,111.86757479999997
sensor_05,abnormal,7,45.351952857142855,31.315537395190756,0.0,72.5204,60.30106,41.12690500000001,0.0840786,0.42039300000000007,25.5971,60.30106,66.724005,70.954754,72.20727079999999,-1.0267030153260428,-1.0443851505316715,30.486957005189034,left_skewed,0.0840786,72.20727079999999
sensor_49,abnormal,7,60.80522847324916,30.02827529770344,29.5138893127441,121.5278,49.76852,23.003475,30.416666753979456,34.027776518920874,44.704860000000004,49.76852,67.708335,105.98959999999997,118.42015999999997,1.5890275024447489,3.0433754113577205,17.052242401779097,right_skewed,30.416666753979456,118.42015999999997
sensor_11,abnormal,7,28.350590714285715,19.60279275501924,1.960537,50.04619,30.43471,30.410491,2.06044006,2.4600523,13.797929000000002,30.43471,44.208420000000004,48.470419,49.7310358,-0.4754398906757469,-1.58168541295519,22.542988139362492,bounded_normal,2.06044006,49.7310358
sensor_10,abnormal,7,28.517882000000004,13.33960995774744,2.0024740000000003,43.99886,28.30488,9.588850000000004,3.4409845600000004,9.1950268,26.535315,28.30488,36.124165000000005,41.814446,43.561977199999994,-1.3815890248290281,2.8344103682634954,7.108117123795408,left_skewed,3.4409845600000004,43.561977199999994
sensor_44,abnormal,7,43.40544427994828,13.20697907724265,28.06713,65.68287,37.32639,16.64706997981901,28.466435399999998,30.063657,34.866895,37.32639,51.51396497981901,61.60860898789139,64.86801779757826,0.7150739822020463,-0.4519923925313938,12.34030391387621,bounded_normal,28.466435399999998,64.86801779757826
sensor_12,abnormal,7,18.46575414285714,12.970559972518283,0.0,32.74559,21.43791,15.940530500000001,0.09613554,0.4806777000000001,10.7989295,21.43791,26.73946,32.144777,32.6254274,-0.6653266455486248,-1.0824728959667766,11.816553372868793,bounded_normal,0.09613554,32.6254274
sensor_45,abnormal,7,42.080027019304545,11.659189593354833,28.067129135131804,57.87037,37.90509,18.518519999999995,28.275462387023897,29.108795394592264,33.42014,37.90509,51.93866,56.307871,57.557870199999996,0.2322240955159945,-1.990947025708981,13.727590808005926,bounded_normal,28.275462387023897,57.557870199999996
sensor_07,abnormal,7,13.73181128285714,6.073307345993548,0.03616898,16.89091,15.91435,1.215284999999998,0.9432868412000001,4.5717582860000014,15.21267,15.91435,16.427954999999997,16.806277,16.8739834,-2.583923220594023,6.750506563278336,0.9008784284655286,left_skewed,0.9432868412000001,16.8739834
sensor_08,abnormal,7,13.29468414,5.90407408851071,0.03616898,16.86921,15.18374,1.1537949999999988,0.8851270412000001,4.280959286000002,14.666520000000002,15.18374,15.820315,16.591434,16.8136548,-2.538216653287189,6.572103195664305,0.8552965159377308,left_skewed,0.8851270412000001,16.8136548
sensor_06,abnormal,7,9.818327740671753,5.761857324282441,0.0289351847022772,14.18547,12.30469,6.550200500000001,0.22034141362014056,0.9859663292915941,7.2771995,12.30469,13.8274,14.148579,14.1780918,-1.211492432254129,-0.3127596644498225,4.855597108969608,left_skewed,0.22034141362014056,14.1780918
sensor_09,abnormal,7,12.788317685167938,5.660496991443621,0.0072337961755693,15.59606,15.05353,0.7704000000000004,0.8388311684050351,4.165220657322899,14.33015,15.05353,15.10055,15.452831,15.5674142,-2.5988372252260556,6.8041297079817475,0.5710896960711641,left_skewed,0.8388311684050351,15.5674142
sensor_13,abnormal,7,5.970119457142857,5.158077246874013,0.0,12.21786,6.803444,8.969626900000002,0.014225472,0.07112736000000001,1.2075696,6.803444,10.1771965,11.875421999999999,12.149372399999999,-0.07133918185721418,-2.182045127804265,6.649093328391403,bounded_normal,0.014225472,12.149372399999999
sensor_01,abnormal,7,45.96974172310966,4.167753715860061,40.19097,53.34201,45.8333320617676,3.5373300000000043,40.331595,40.894095,43.836805,45.8333320617676,47.374135,51.584199,52.9904478,0.5551416048799325,1.1221563422017669,2.622186805040774,bounded_normal,40.331595,52.9904478
sensor_02,abnormal,7,50.83705182128906,3.1150102675314195,45.22569,52.99479,52.73437,3.276913625488305,45.3741276,45.967878,49.5876713745117,52.73437,52.864585000000005,52.96875,52.989582,-1.3412146045954072,0.3347819709110178,2.4291427913182395,left_skewed,45.3741276,52.989582
sensor_03,abnormal,7,42.9315457043457,1.6827424172714411,40.190971374511705,45.3559,43.402774810790994,1.5408015637207058,40.266492080688465,40.568574905395494,42.122392654418945,43.402774810790994,43.66319421813965,44.913193,45.267358599999994,-0.41607924560782195,0.22860504840040363,1.1421805513126062,bounded_normal,40.266492080688465,45.267358599999994
sensor_00,abnormal,7,1.1941881704285715,1.0966841611867721,0.0,2.321759,1.093982,2.1058159035,0.00011805557999999399,0.0005902778999999701,0.1829860964999999,1.093982,2.288802,2.3208737,2.32158194,0.016242258304922614,-2.4868504132284768,1.561019943291327,bounded_normal,0.00011805557999999399,2.32158194
sensor_18,abnormal,7,2.2158521285714285,0.7848222548783572,0.4446659,2.6323380000000003,2.481055,0.12071499999999968,0.561227366,1.0274732300000002,2.4278690000000003,2.481055,2.548584,2.6100291,2.62787622,-2.592251608925039,6.784839069970911,0.08948480355819102,left_skewed,0.561227366,2.62787622
