feature,count,mean,std,min,p01,p05,p25,p50,p75,p95,p99,max
sensor_17,14477,457.4759785521862,27.654485834690504,174.4065,327.96518399999997,442.77796,454.2408,462.0662,466.8767,473.26776,478.53718,599.243
sensor_16,14477,458.8564012157215,25.759110455280805,195.4578,368.98755199999994,448.4282,452.6753,463.2863,465.4611,469.0365,478.375292,612.6765
sensor_20,14477,394.27474262899767,25.13019260905824,89.90998,297.41874800000005,389.1754,391.6584,399.2862,399.9642,400.88256,401.735656,425.4048
sensor_38,14472,35.29892716511197,25.050466693906323,24.4791660308838,24.4791660308838,24.739582061767603,27.3437480926514,29.9479160308838,34.1145820617676,59.11458,135.3073319999995,417.7083
sensor_41,14472,32.2705040997428,23.452692249464693,20.83333,20.833332061767603,21.09375,23.4375,25.7812480926514,31.2499980926514,72.13541,141.6667,420.3125
sensor_49,14472,36.49714274122134,23.37243184486813,26.62037,26.6203708648682,27.488426208496104,29.224536895752,31.5393524169922,35.0115737915039,60.474536895752,144.75982599999975,464.4097
sensor_46,14472,36.068412058570736,22.51885147425812,26.331018447876,26.331018447876,27.199073791503896,29.5138893127441,32.1180572509766,35.3009262084961,48.90046,184.9044949999981,301.5046
sensor_14,14477,415.9980411134904,22.107855403513327,179.232,339.3617,407.02594,410.5465,420.2777,422.1345,425.14932,427.81633999999997,454.3613
sensor_45,14472,33.28817905883055,14.312162011841085,26.331018447876,26.33102,27.199070000000003,28.93518,30.96065,33.275463104248,40.21991,102.4306,320.3125
sensor_44,14472,32.363662098988144,12.26922385308726,25.7523155212402,25.7523155212402,26.33102,28.6458339691162,30.6713,33.275459999999995,39.35185108764649,72.33796,361.6898
sensor_47,14472,34.29181325513444,11.386903284537778,27.199070000000003,27.488426208496104,27.7777786254883,30.381944656372102,32.986110687255895,35.87963,41.6666679382324,78.20891149999973,303.5301
sensor_09,9896,8.822056993468266,7.149102857592436,0.0,0.007233796,0.0072337961755693,0.0072337961755693,11.29196,15.05353,17.65046,25.0,25.0
sensor_07,9040,8.49514044425561,7.110820547255416,0.0,0.03616898,0.0361689813435078,0.0361689813435078,11.34983,13.80932,17.66493,23.32899,23.59664
sensor_08,9384,9.117674396378101,6.991980730161856,0.02893518,0.02893518,0.0289351847022772,0.0289351847022772,11.14005,12.74595,21.12268,24.16088,24.34896
sensor_02,14472,39.92270051412962,5.127257072994046,33.15972,33.203125,33.7239570617676,36.0677070617676,38.715274810791,42.1875,50.0,52.30035,53.55902
sensor_06,9693,5.78486138026076,5.0823899429877315,0.01446759,0.01446759,0.0144675923511386,0.0289351847022772,6.553819,10.09838,12.62297,17.08623,22.25116
sensor_01,14447,39.22138582254976,4.368632046448149,32.20486,32.2916641235352,33.029514312744105,35.373264312744105,38.67188,41.05902,47.30902,48.13368,53.55902
sensor_11,14472,1.3696149052813336,3.5929541918284484,0.0,0.0,0.0,0.0,0.0868055522441864,0.8563751749999999,5.582444899999998,18.252319599999993,51.46463
sensor_03,14472,37.856698010137166,3.504355007454871,31.64062,31.9010410308838,32.8125,34.89583,37.717014312744105,40.45139,43.92361,44.81683782770991,46.70139
sensor_10,14472,1.6750439534383257,3.3005400386512163,0.0,0.0,0.08153963050000002,0.2459491,0.3597733999999999,1.90982075,6.197044299999999,14.22805,58.23381
sensor_12,14472,0.19501078049125417,1.5494905999849649,0.0,0.0,0.0,0.0,0.0,0.0,0.6777227799999996,6.114149249999985,33.04587
sensor_13,14472,0.05506561811098239,0.6482435455242581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8886604789999804,16.09672
sensor_18,14477,2.49357970839953,0.23727644151612257,0.3590827,1.29342312,2.326009,2.4496860000000003,2.534958,2.588339,2.660781,2.7226046,4.240345
sensor_00,4283,0.055214796642676,0.16327043935403168,0.0,0.0019675926305353,0.0019675926305353,0.0019675926305353,0.0019675929999999,0.109201394021511,0.3037963399999992,0.7614583640000143,2.318808
