sensor,baseline_state,comparison_state,baseline_mean,comparison_mean,baseline_std,standardized_mean_shift,abs_standardized_mean_shift
sensor_36,normal,abnormal,594.5127087633588,438.4638142857143,293.53554145647837,-0.531618398587625,0.531618398587625
sensor_46,normal,abnormal,48.85862615514499,55.266199901820585,14.677281182507123,0.4365640793413672,0.4365640793413672
sensor_28,normal,abnormal,834.8054466827239,971.2228857142856,315.7311036400139,0.4320684198003511,0.4320684198003511
sensor_02,normal,abnormal,51.63694928895343,50.83705182128906,1.8782990350830115,-0.4258626835896879,0.4258626835896879
sensor_35,normal,abnormal,423.70111157084585,472.43953228236614,143.80191867799675,0.3389274716191794,0.3389274716191794
sensor_27,normal,abnormal,500.0395430975575,446.49507428571434,172.68601900278605,-0.31006834902470765,0.31006834902470765
sensor_31,normal,abnormal,851.4005686529042,936.9047428571429,285.3661937661004,0.2996296550611104,0.2996296550611104
sensor_13,normal,abnormal,7.572760392618953,5.970119457142857,6.873284554393044,-0.23316958912340846,0.23316958912340846
sensor_34,normal,abnormal,235.89868848205856,253.88452857142858,90.19350270753834,0.1994139217288294,0.1994139217288294
sensor_33,normal,abnormal,482.22342873518846,511.01499999999993,154.12243720217873,0.18680973249237237,0.18680973249237237
sensor_29,normal,abnormal,573.0075959982645,611.0224571428571,230.32291184828762,0.16505028023279236,0.16505028023279236
sensor_45,normal,abnormal,43.78459338869016,42.080027019304545,12.439904100857335,-0.13702407635667718,0.13702407635667718
sensor_49,normal,abnormal,58.569956042613384,60.80522847324916,17.93921043005498,0.124602609426491,0.124602609426491
sensor_23,normal,abnormal,915.2071966006395,880.2364385714284,299.41582007006906,-0.11679662758309582,0.11679662758309582
sensor_14,normal,abnormal,374.1067333866416,387.0258857142857,116.48033382405467,0.11091273439479214,0.11091273439479214
sensor_30,normal,abnormal,608.653371950155,629.4311857142857,200.3620189924656,0.10370135951221365,0.10370135951221365
sensor_18,normal,abnormal,2.290436176452833,2.2158521285714285,0.7881439414674937,-0.09463252073286481,0.09463252073286481
sensor_26,normal,abnormal,781.4390685861224,758.1914428571429,253.18676348451055,-0.09182006756210923,0.09182006756210923
sensor_16,normal,abnormal,413.49121440670166,424.77391428571434,129.73325286190797,0.0869684497236983,0.0869684497236983
sensor_32,normal,abnormal,794.8550860370719,814.2010857142857,261.5959899380737,0.07395373178997668,0.07395373178997668
sensor_21,normal,abnormal,791.148866964761,774.7598285714287,233.15173543082196,-0.07029344372259733,0.07029344372259733
