sensor,baseline_window_count,baseline_row_count,baseline_median,baseline_mean,baseline_std,baseline_q05,baseline_q25,baseline_q75,baseline_q95,baseline_iqr,baseline_delta_median,baseline_delta_abs_median,baseline_delta_abs_q95,baseline_delta_iqr,baseline_missing_pct
sensor_12,32,122917,32.71312,31.923787777696838,3.7025394875758053,24.212007,30.8290525,34.18393875,36.530488000000005,3.2032175000000045,0.0,0.31314749999999947,1.0438000000000014,0.6214249999999946,2.318822656443235e-05
sensor_13,32,122917,2.401176,4.087433489458954,1.980404360834802,1.711425475,1.98463575,4.239045875,9.738265375,1.4390841249999995,0.0,0.07737975000000008,0.4846869500000005,0.15509937499999993,2.318822656443235e-05
sensor_14,32,122917,420.37760000000003,420.08370208456716,3.058666616798705,418.200325,419.6480625,420.984375,421.958955,1.568649999999991,0.0,0.997825000000006,3.5043100000000074,1.9953999999999894,5.1948832026780106e-05
sensor_16,32,122917,463.3257,463.1236563011457,4.337501894540168,459.54183,462.0226,464.32218750000004,465.87632499999995,2.097037499999999,0.0,1.3106249999999875,5.1222249999999985,2.625974999999954,5.1948832026780106e-05
sensor_17,32,122917,463.433,462.73605427950673,6.826531119694366,451.08959000000004,459.2172625,466.715325,472.33637,7.52890000000005,0.0,4.7235500000000314,15.495707500000002,9.455200000000005,5.1948832026780106e-05
sensor_18,32,122917,2.5492115,2.5421642165208054,0.07587250969502875,2.41425225,2.50275675,2.586363875,2.6499231,0.0845287499999996,0.0,0.053423250000000255,0.17087735000000004,0.1069511250000002,5.1948832026780106e-05
sensor_19,32,122917,666.0282749999999,665.9656134890779,2.303129861251776,662.57096,664.8097625,667.17705,668.87174,2.2964749999999867,0.0,1.2664249999999981,4.347812500000026,2.545862499999984,5.1948832026780106e-05
sensor_20,32,122917,399.54655,399.5192133687856,0.9531975580319143,398.11018,399.00595,400.1182,400.962675,1.1219875000000172,0.0,0.7555499999999853,2.3876399999999904,1.501250000000013,5.1948832026780106e-05
sensor_21,32,122917,880.2733499999999,880.3311548498232,3.1040733733909316,875.2644,878.4577,882.1322124999999,885.109205,3.771274999999946,0.0,2.34050000000002,7.733587500000046,4.67441249999996,5.1948832026780106e-05
sensor_22,32,122917,518.617725,507.28016028435275,1.5946974406073227,502.2512925,504.10013749999996,532.90635,535.416435,2.0810625000000016,0.0,1.0732000000000141,3.7023074999999963,2.144362500000014,5.1948832026780106e-05
sensor_23,32,122917,980.10745,980.0788469155232,2.6316672595162753,976.3237125,978.5795875,985.672325,993.12,3.199999999999932,0.0,1.9480500000000234,6.490400000000007,3.891262499999854,5.1948832026780106e-05
sensor_24,32,122917,626.752125,618.6510791440128,2.705371896709144,610.5164,619.758225,628.97915,631.223245,2.9122375000000034,0.0,1.7095749999999725,6.062294250000016,3.4256374999999792,5.1948832026780106e-05
sensor_25,32,122917,739.7714,736.1314652579125,4.16446269383178,708.3912124999999,736.3068875,741.6426125,744.7991475,4.0090999999999894,0.0,1.9261750000000006,7.185644999999993,3.861099999999979,5.1948832026780106e-05
sensor_26,32,122917,898.527075,864.5067437109856,5.505649010842258,797.386035,850.9782,901.2276374999999,904.2227350000001,3.924137500000029,0.0,2.0312000000000126,7.091257499999967,4.054249999999968,5.1948832026780106e-05
sensor_27,32,122917,501.00452500000006,500.415114877836,20.26523564999412,466.88667749999996,491.8201125,514.5750875,548.3103424999999,20.94617500000004,0.0,10.60052499999999,40.7564575,21.097062500000014,5.1948832026780106e-05
sensor_28,32,122917,1014.3824999999999,1003.2327758244226,34.3872090822168,985.38051,994.6160125,1042.533375,1064.231925,18.83800000000008,0.0,7.928999999999974,25.28838499999997,15.884312499999965,5.1948832026780106e-05
sensor_29,32,122917,560.29255,560.4038038729954,17.939430838465874,534.494805,549.99875,667.983075,738.3703250000001,21.226174999999955,0.0,8.286699999999996,30.543770000000027,16.592362499999993,0.0002722686104480315
sensor_30,32,122917,680.787,680.099828470327,18.81102559678618,649.537,669.9074,690.3356624999999,706.24995,21.527799999999957,0.0,12.731449999999938,41.43520000000004,25.46289999999999,0.0011994683164392502
sensor_31,32,122917,974.088475,980.0024108638744,52.93014953741617,889.9088,936.5884625,1009.8308750000001,1059.778775,63.41151249999996,0.0,31.25,104.24492499999998,62.239599999999996,5.1948832026780106e-05
sensor_32,32,122917,884.4750750000001,883.2884113001745,21.94529174069895,837.1262675,871.5166875,899.8510125,933.6464100000001,26.338450000000023,0.0,13.845074999999952,45.49215249999996,27.683262499999955,5.1948832026780106e-05
sensor_33,32,122917,520.7342,521.2222359850738,16.010137615673973,497.7301,512.368025,536.5710750000001,572.3589200000001,18.863575000000026,0.0,7.137674999999987,22.107964999999993,14.265924999999982,5.1948832026780106e-05
sensor_34,32,122917,200.4393,229.15327961639494,13.748403084655472,182.3807025,193.837,254.7154375,291.45851749999997,16.92423749999999,0.0,2.467749999999981,9.258599999999996,4.969837500000008,5.1948832026780106e-05
sensor_35,32,122917,427.438,426.6827677358865,24.21186006419653,388.03157500000003,411.16665,464.26910000000004,498.47624499999995,28.835362500000002,0.0,5.582150000000041,19.47804000000003,11.24932499999997,5.1948832026780106e-05
sensor_36,32,122917,674.8787500000001,658.7761772107546,32.087811437792055,507.3204675,611.5899125000001,756.53175,805.5797399999999,23.090012500000057,0.0,4.0477750000000015,13.713807499999962,8.083000000000055,5.1948832026780106e-05
sensor_37,32,122917,70.25847250000001,71.73297414312984,21.032386911192397,37.301123000000004,58.789835,83.1470575,104.96815249999997,27.164356249999997,0.0,7.042602500000003,22.34392224999999,14.014978750000004,5.1948832026780106e-05
sensor_38,32,122917,50.130205,51.06425002767336,5.673367495770308,42.578125,46.61458,54.166664999999995,60.9375,7.421875,0.0,0.5208300000000037,1.8229199999999999,1.0416699999999963,5.465851860874252e-05
sensor_39,32,122917,37.239580000000004,37.46814441367074,4.036572524143184,31.380209999999998,33.8867125,40.36458,44.27083,5.208335000000002,0.0,0.5208299999999966,1.5625,0.78125,5.465851860874252e-05
sensor_40,32,122917,65.23437,68.00936830125207,13.327235130428242,51.562495,58.203125,73.95833,91.27604,14.973960000000002,-0.2604199999999963,1.3020800000000037,5.20833,2.3437600000000005,5.465851860874252e-05
sensor_41,32,122917,35.286455000000004,35.67929683533676,3.2097905766371158,30.98958020617676,33.07291,37.76041,41.66666,4.557293969116198,0.0,0.2604199999999963,1.0416600000000003,0.5208299999999966,5.465851860874252e-05
sensor_42,32,122917,34.8958320617676,35.355690826094346,2.409606242171625,31.77083,33.0729141235352,37.5,39.8437460308838,3.6458289691161987,0.0,2.0617676028678034e-06,0.5208399999999997,6.185302801497983e-06,5.465851860874252e-05
sensor_43,32,122917,42.70833,43.35583099672907,5.0726135037268145,37.5,40.10416,45.83333,51.82291,5.924474484558097,0.0,0.2604200000000034,1.5625,0.5208389691162019,5.465851860874252e-05
sensor_44,32,122917,39.207175,40.25044118830178,5.136225567746747,34.72222,37.037035,42.390045,48.03241,5.642361208496105,0.0,0.2893499999999989,1.4467599999999976,0.289354146728499,5.465851860874252e-05
sensor_45,32,122917,39.279512499999996,40.73891281678161,6.289736997955048,35.01157189575195,37.32638965637206,42.24537,49.89872749999998,5.353013104248049,0.0,0.2893484478760051,1.4467599999999976,0.2893524169921946,5.465851860874252e-05
sensor_46,32,122917,43.692130521240244,45.573983982238005,8.186115198537848,37.32639,40.21991,48.03241,59.17245500000001,7.378476729736356,0.0,0.2893499999999989,1.7361150000000016,0.5787000000000013,5.465851860874252e-05
sensor_47,32,122917,43.11343,44.650685146108216,7.388070764121466,37.61574172973629,40.21991,46.730325,55.1866323293457,6.655096208496101,0.0,0.2893499999999989,1.4467600000000047,0.5786999999999978,5.465851860874252e-05
sensor_48,32,122917,122.323475,126.7276729989602,38.33768483036783,73.13367749999999,97.07757000000001,154.3692,195.47885749999995,49.768525000000004,0.0,1.736104999999995,6.510450000000002,3.472235000000005,5.465851860874252e-05
sensor_49,32,122917,51.2152786254883,51.765314540731,5.575392575323583,45.283565,48.03241,54.1088,60.908565,5.931715864868153,0.0,4.312744142254132e-06,0.8680500000000038,0.2893525830077479,5.465851860874252e-05
sensor_51,32,122917,193.28705000000002,197.13155543409695,23.474114891319825,159.8669,181.13425,208.044,238.42595,29.369249999999994,0.0,1.4466999999999928,4.918999999999997,2.604200000000006,0.02916047496075906
