sensor,state_scope,mean,std,min,max,median,iqr,p01,p05,p25,p50,p75,p95,p99,skewness,kurtosis,robust_std,distribution_family,lower_bound,upper_bound
sensor_10,normal_clean,45.56215383440505,4.394791673927333,0.2031631,66.75164000000001,45.72617,5.556285000000003,35.28703,38.41193,42.816874999999996,45.72617,48.37316,52.476034999999996,55.839187999999986,-0.3812086533706079,2.451019116129957,4.118817642698297,bounded_normal,29.250899429206815,62.201440570793196
sensor_11,normal_clean,45.37458396814816,6.738609439695733,0.0696861999999999,60.0,46.68359,10.685265000000001,30.593032,34.766729999999995,39.852244999999996,46.68359,50.53751,54.71455,57.52827299999999,-0.5777103018758344,0.4798382281742817,7.920878428465531,bounded_normal,15.00007628613788,60.0
sensor_12,normal_clean,31.707288220951884,5.835266082201349,0.0,45.0,32.980270000000004,5.300840000000004,10.195037000000001,19.744169999999997,29.98264,32.980270000000004,35.283480000000004,38.279880000000006,40.497052,-1.7481906557335736,3.990610861086572,3.929458858413643,left_skewed,10.195037000000001,45.0
sensor_13,normal_clean,8.223953819460734,7.090569512177099,0.0,26.95825,5.620381,11.7526325,0.023552511,0.55942745,1.7231075000000002,5.620381,13.47574,20.18542,21.974767999999987,0.42906928282219725,-1.3091819819910477,8.712107116382507,bounded_normal,0.0,26.95825
sensor_14,normal_clean,420.21435223266593,7.141457030804416,214.4462,462.2556,420.4382,1.486500000000035,407.9084,417.85188,419.7048,420.4382,421.1913,424.8687,430.909804,-15.401016551490388,321.2774461275104,1.1019273535952818,left_skewed,407.9084,430.909804
sensor_16,normal_clean,462.76856588975136,8.742605603388705,143.0854,624.6061,463.3769,2.443299999999965,449.367736,458.66868,462.1064,463.3769,464.5497,466.764,469.399764,-12.697665717364218,314.41914886795706,1.811193476649344,left_skewed,449.367736,470.6216739065974
sensor_17,normal_clean,463.38346582491107,12.029426643144793,160.1611,556.2194,463.5739,8.293299999999988,424.90672,449.65594000000004,459.3299,463.5739,467.6232,477.6215,500.782056,-2.9772656507790876,48.50943049184647,6.147739065974787,left_skewed,424.90672,500.782056
sensor_18,normal_clean,2.550655205409494,0.12824986011992143,0.2840649,3.667155,2.550953,0.09232599999999991,2.14449628,2.3992178,2.504121,2.550953,2.596447,2.7089856,2.9787236800000003,-1.474868433504964,25.469143512077036,0.06844032616753144,left_skewed,2.14449628,2.9787236800000003
sensor_19,normal_clean,666.2476778727473,3.5791742427996707,624.8951,737.9577,666.2149,2.4482000000000426,650.9443399999999,662.45408,664.9846,666.2149,667.4328,671.0061,677.7079,-0.4452251468287706,13.298642195687322,1.8148257968866142,robust_empirical,650.9443399999999,677.7079
sensor_20,normal_clean,399.59260895598806,3.0029431730163947,213.7725,436.6941,399.6271,1.1843000000000075,390.585336,397.88292,399.0446,399.6271,400.2289,402.14996,406.396832,-12.147875582597814,372.560222638015,0.8779095626389974,left_skewed,390.585336,406.396832
